Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Portugal;Wages;2005-04-30T00:00:00;809.34;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2005-10-31T00:00:00;959.55;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2006-04-30T00:00:00;986.04;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2006-10-31T00:00:00;997;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2007-04-30T00:00:00;1024;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2007-10-31T00:00:00;1033.84;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2008-04-30T00:00:00;1063.38;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2008-10-31T00:00:00;1071.63;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2009-04-30T00:00:00;1093.38;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2009-10-31T00:00:00;1101.92;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2010-04-30T00:00:00;1109.27;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2010-10-31T00:00:00;1118.48;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2011-04-30T00:00:00;1134.44;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2011-10-31T00:00:00;1142.59;Biannually;PORTUGALWAG;2014-09-26T08:51:00
Portugal;Wages;2012-04-30T00:00:00;1114.97;Biannually;PORTUGALWAG;2015-08-25T13:57:00
Portugal;Wages;2012-10-31T00:00:00;1123.5;Biannually;PORTUGALWAG;2015-08-25T13:57:00
Portugal;Wages;2013-04-30T00:00:00;1124.83;Biannually;PORTUGALWAG;2015-08-25T13:58:00
Portugal;Wages;2013-10-31T00:00:00;1125.59;Biannually;PORTUGALWAG;2015-08-25T13:58:00
Portugal;Wages;2014-04-30T00:00:00;1120.4;Biannually;PORTUGALWAG;2015-08-25T13:58:00
Portugal;Wages;2014-10-31T00:00:00;1124.49;Biannually;PORTUGALWAG;2015-08-25T13:59:00
Portugal;Wages;2015-04-30T00:00:00;1140.37;Biannually;PORTUGALWAG;2016-11-08T15:55:00
Portugal;Wages;2015-10-31T00:00:00;1130.37;Biannually;PORTUGALWAG;2016-11-08T15:59:00
Portugal;Wages;2016-04-30T00:00:00;1138.73;Biannually;PORTUGALWAG;2018-02-06T15:24:00
Portugal;Wages;2016-10-31T00:00:00;1144.61;Biannually;PORTUGALWAG;2018-02-06T15:24:00
Portugal;Wages;2017-04-30T00:00:00;1148.29;Biannually;PORTUGALWAG;2018-09-11T16:32:00
Portugal;Wages;2017-10-31T00:00:00;1150.62;Biannually;PORTUGALWAG;2019-03-06T14:46:00
Portugal;Wages;2018-04-30T00:00:00;1166.86;Biannually;PORTUGALWAG;2019-04-08T13:15:00
Portugal;Wages;2018-10-31T00:00:00;1170.63;Biannually;PORTUGALWAG;2019-08-22T16:07:00
Portugal;Wages;2019-04-30T00:00:00;1188.06;Biannually;PORTUGALWAG;2020-01-21T12:52:00
